id	file	offset	budget	same_as	jp	kr
SYS02549	SSCR.BIN	0x6CBE9	107		飲むと真正面のマスに炎をはいて、\n約\x01\x0B 70ポイント \x01\x02のダメージを与える。\n投げても使えるが、ダメージは半減。\n	마시면 정면 칸에 불을 내뿜어,\n약 \x01\x0B 70포인트 \x01\x02의 데미지를 준다.\n던져도 쓸 수 있지만, 데미지는 절반.\n
SYS02550	SSCR.BIN	0x6CC56	125		×ボツアイテム×\n天然成分でお肌がツルツルになる。\nただ、ツルツルになりすぎて、\n床をすべるようになってしまうので\n注意が必要。\n	×폐기아이템×\n천연 성분으로 피부가 매끈매끈해진다.\n다만, 너무 매끈매끈해져서\n바닥에서 미끄러지게 되므로\n주의가 필요하다.\n
SYS02551	SSCR.BIN	0x6CCD5	176		×ボツアイテム×\n食べると体が鋼鉄のように固くなり、\n敵からのあらゆる攻撃を無効化できる\nようになる。ただ副作用として、\n指やクチが動かなくなるので\nいっさいの道具が使えなくなる。\n	×폐기아이템×\n먹으면 몸이 강철처럼 단단해져,\n적의 모든 공격을 무효화할 수\n있게 된다. 다만 부작용으로,\n손가락과 입이 움직이지 않게 되어\n일체의 도구를 쓸 수 없게 된다.\n
SYS02552	SSCR.BIN	0x6CD87	83		×ボツアイテム×\n食べると体がフニャフニャになり、\n受けるダメージ量が増えてしまう。\n	×폐기아이템×\n먹으면 몸이 흐물흐물해져,\n받는 데미지량이 늘어나버린다.\n
SYS02553	SSCR.BIN	0x6CDDC	269		辛いけど忘れられない過去があるときは、\nこの草に頼るのもいいかもしれない。\nでも、大切な思い出まで消えてしまう。\nもちろん、それまで識別した道具の名前や\n巻物のことも、スッカリ忘れてしまう。\nやはり思い出は、楽しいことも辛いことも、\nともに持っていかなければいけないのかも。\n	괴롭지만 잊을 수 없는 과거가 있을 때는,\n이 풀에 의지하는 것도 좋을지 모른다.\n하지만, 소중한 추억까지 사라져버린다.\n물론, 그때까지 감정한 도구의 이름이나\n두루마리에 대해서도, 싹 잊어버린다.\n역시 추억이란, 즐거운 일도 괴로운 일도,\n함께 가져가야만 하는 것일지도.\n
SYS02554	SSCR.BIN	0x6CEEB	124		識別されていないアイテムが識別できる。\n識別できると、そのアイテムの名前、\n性能、回数、呪いにかかっているか\nどうかがわかる。\n	감정되지 않은 아이템을 감정할 수 있다.\n감정하면, 그 아이템의 이름,\n성능, 횟수, 저주에 걸려 있는지\n아닌지를 알 수 있다.\n
SYS02555	SSCR.BIN	0x6CF69	143		そのフロアの、暗くて見えなかった\n通路や部屋にあかりが灯される。\n自分がその部屋にいなくても、\n画面の範囲内なら、\nモンスターやアイテムが見える。\n	그 층의, 어두워서 안 보이던\n통로나 방에 빛이 밝혀진다.\n자신이 그 방에 없어도,\n화면 범위 내라면,\n몬스터나 아이템이 보인다.\n
SYS02556	SSCR.BIN	0x6CFFA	139		壺が大きくなり、たくさん入るようになる。\n例えば「保存の壺」なら、\nたくさん保存できるし、\n「合成の壺」なら、\nたくさん合成できるようになる。\n	항아리가 커져서, 많이 들어가게 된다.\n예를 들어 '보존 항아리'라면,\n많이 보존할 수 있고,\n'합성 항아리'라면,\n많이 합성할 수 있게 된다.\n
SYS02557	SSCR.BIN	0x6D087	123		いにしえの刀工師\nカブラの書き残した巻物。\n秘剣カブラステギの生成方法が\n記されているとされているが\nそれを見たものはいない。\n	옛 도공\n카부라가 남긴 두루마리.\n비검 카부라스테기의 생성 방법이\n적혀 있다고 하지만\n그것을 본 사람은 없다.\n
SYS02558	SSCR.BIN	0x6D104	46		今まで覚えたことのある秘技を\nひとつ思い出す。\n	지금까지 익힌 적 있는 비기를\n하나 떠올린다.\n
SYS02559	SSCR.BIN	0x6D134	209		困ってないときに読んでも、\n何も起こらないかも。\nモンスターに囲まれたとき、\nおなかが減って死にそうなとき、\n呪いや毒で弱ってしまったときなど、\nとにかく困ったときに読んでみると、\nいろいろいいことがおこるらしい。\n	곤란하지 않을 때 읽어도,\n아무 일도 안 일어날지 모른다.\n몬스터에게 둘러싸였을 때,\n배가 고파 죽을 것 같을 때,\n저주나 독으로 약해졌을 때 등,\n아무튼 곤란할 때 읽어보면,\n여러 좋은 일이 일어난다고 한다.\n
SYS02560	SSCR.BIN	0x6D207	17	SYS02459	×ボツアイテム×\n	×폐기아이템×\n
SYS02561	SSCR.BIN	0x6D21A	151		読んだ者と同じ部屋と、\n周囲８マスにいるすべてのモンスターが\nしばらく眠り続ける。\nしかし眠りからさめると、今度は倍の\nスピードで動き出すので注意が必要。\n	읽은 자와 같은 방과,\n주위 8칸에 있는 모든 몬스터가\n한동안 계속 잠든다.\n하지만 잠에서 깨면, 이번엔 배의\n속도로 움직이기 시작하니 주의가 필요하다.\n
SYS02562	SSCR.BIN	0x6D2B3	17	SYS02459	×ボツアイテム×\n	×폐기아이템×\n
SYS02563	SSCR.BIN	0x6D2C6	17	SYS02459	×ボツアイテム×\n	×폐기아이템×\n
SYS02564	SSCR.BIN	0x6D2D9	42		今、自分のいる部屋が、\n大部屋に変化する。\n	지금, 자신이 있는 방이,\n큰 방으로 변한다.\n
SYS02565	SSCR.BIN	0x6D305	56		この巻物を読むと、\nその部屋にモンスターハウスができる。\n	이 두루마리를 읽으면,\n그 방에 몬스터 하우스가 생긴다.\n
SYS02566	SSCR.BIN	0x6D33F	81		同じ部屋または周囲８マスにいる\n自分以外のキャラクターを\nしばらくの間混乱させる。\n	같은 방 또는 주위 8칸에 있는\n자신 이외의 캐릭터를\n한동안 혼란시킨다.\n
SYS02567	SSCR.BIN	0x6D392	244		モンスターに投げて当てると\nそれと同じ種類のモンスターは\n次の冒険まで出なくなる。\nそのあと別の種類のモンスターに当てると\n今度はそっちが出なくなり、前に当てた\nほうのモンスターは、また出るようになる。\n読んでも、巻物がなくなるだけで\n何も起きない。\n	몬스터에게 던져서 맞히면\n같은 종류의 몬스터는\n다음 모험까지 안 나온다.\n그 후 다른 종류에게 맞히면\n이번엔 그쪽이 안 나오고, 전에 맞힌\n쪽은, 다시 나오게 된다.\n읽어도, 두루마리만 없어질 뿐\n아무 일도 안 일어난다.\n
SYS02568	SSCR.BIN	0x6D488	17	SYS02459	×ボツアイテム×\n	×폐기아이템×\n
SYS02569	SSCR.BIN	0x6D49B	68		壺の中のアイテムを外に吸い出せる。\n出てきたアイテムは足元に落ちる。\n	항아리 속 아이템을 밖으로 뺀다.\n나온 아이템은 발밑에 떨어진다.\n
SYS02570	SSCR.BIN	0x6D4E1	17	SYS02459	×ボツアイテム×\n	×폐기아이템×\n
SYS02571	SSCR.BIN	0x6D4F4	96		呪われたアイテムを持っていると\nその呪いがとける。\nジャガン仮面系の死の呪いも\nとくことができる。\n	저주받은 아이템을 갖고 있으면\n그 저주가 풀린다.\n자간 가면 계열의 죽음의 저주도\n풀 수 있다.\n
SYS02572	SSCR.BIN	0x6D556	102		装備している武器の攻撃力が、\n\x01\x0B １ポイント \x01\x02上がる。\n武器が呪われている場合は、同時に\nそれもとける。\n	장비하고 있는 무기의 공격력이,\n\x01\x0B 1포인트 \x01\x02오른다.\n무기가 저주받은 경우는, 동시에\n그것도 풀린다.\n
SYS02573	SSCR.BIN	0x6D5BE	92		装備している盾の防御力が\n\x01\x0B １ポイント \x01\x02上がる。\n盾が呪われていたら、同時に\nそれもとける。\n	장비하고 있는 방패 방어력이\n\x01\x0B 1포인트 \x01\x02오른다.\n방패가 저주받았다면, 동시에\n그것도 풀린다.\n
SYS02574	SSCR.BIN	0x6D61C	123		武器や盾をメッキできる。\nメッキされた武器や盾は、サビることが\nなくなる。\nまた、ヒビのはいった腕輪を\n修理することもできる。\n	무기나 방패를 도금할 수 있다.\n도금된 무기나 방패는, 녹스는 일이\n없어진다.\n또한, 금이 간 팔찌를\n수리할 수도 있다.\n
SYS02575	SSCR.BIN	0x6D699	124		これを読むと、部屋の中に\nワナがたくさんばら撒かれる。\n自分で置いたワナに自分でひっかかると\nかなり情けないので気をつけよう。\n	이걸 읽으면, 방 안에\n함정이 잔뜩 뿌려진다.\n자신이 놓은 함정에 자신이 걸리면\n꽤 한심하니 조심하자.\n
SYS02576	SSCR.BIN	0x6D717	102		装備しているものをもって\n最初の村に戻ることができる。\n装備以外のアイテムは\nなくなってしまうので注意。\n	장비하고 있는 것을 가지고\n첫 마을로 돌아갈 수 있다.\n장비 이외의 아이템은\n없어지므로 주의.\n
SYS02577	SSCR.BIN	0x6D77F	170		×ボツアイテム×\n地面に置くと床にはりつく。\nそのあと、巻物の上で剣をふるなどの\n攻撃動作をすると はりついた\n巻物が爆発する。\n読んでも巻物がなくなるだけで、\n何も起きない。\n	×폐기아이템×\n바닥에 놓으면 달라붙는다. 그 후, 두루마리 위서 검을 휘두르는 등\n공격하면 달라붙은\n두루마리가 폭발한다.\n읽어도 두루마리만 없어질 뿐,\n아무 일도 안 일어난다.\n
